pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
HD 2039 b,12.7,1999.1507,1120.0,2.2,0.71,5945.0,1.23,1.19,2002.0,Radial Velocity,85.6922
HAT-P-8 b,15.6926,406.8224,3.07634,0.04496,0.0,6200.0,1.27,1.57,2008.0,Transit,211.553
K2-43 b,4.51,18.5,3.471149,0.03784,0.07,3840.6,0.571,0.542,2016.0,Transit,182.536
Kepler-1753 b,2.22678077,5.59,16.00460052,0.1179,0.0,5180.0,0.86,0.769,2021.0,Transit,707.688
Kepler-1176 b,2.45,6.57,24.1738579,0.1589,0.0,5844.0,1.01,1.02,2016.0,Transit,864.699
K2-126 b,1.97,4.54,7.385655,0.0656,0.06,4339.0,0.69,0.65,2017.0,Transit,102.953
Kepler-1263 b,1.14,1.55,4.55139967,0.0499,0.0,5213.0,0.84,0.8,2016.0,Transit,664.83
Kepler-1416 b,0.88,0.615,1.49514952,0.0257,0.0,6019.0,1.09,1.15,2016.0,Transit,949.59
Kepler-1542 c,0.65,0.208,2.89223021,0.0387,0.0,5564.0,0.94,0.99,2016.0,Transit,399.114
K2-85 b,1.4,3.2,0.68453862616,0.013,0.24,4232.0,0.7,0.71,2016.0,Transit,97.2179
Kepler-368 c,3.88,14.3,72.379334,0.36,0.0,5502.0,1.165,2.019,2014.0,Transit,770.978
K2-123 b,2.76,8.05,30.951524,0.1649,0.06,4035.0,0.62,0.59,2017.0,Transit,161.555
Kepler-770 b,2.3,5.9,18.92540274,0.1694,0.0,5598.0,0.94,0.92,2016.0,Transit,930.457
Kepler-1399 b,1.25,2.1,1.638653058,0.0276,0.0,5735.0,0.97,0.96,2016.0,Transit,1385.7
Kepler-723 b,12.19,,4.082275068,0.0479,0.0,5539.0,0.92,0.89,2016.0,Transit,1071.8
K2-107 b,15.98,266.9772,3.313959,0.0475,0.0,6061.0,1.3,1.81,2017.0,Transit,685.2
K2-45 b,6.71,36.4,1.7292684,0.0224,0.1,4103.0,0.503,0.445,2016.0,Transit,495.317
K2-365 b,2.906,8.78,23.448172,,,5561.0,0.823,1.051,2022.0,Transit,187.222
K2-127 b,8.37,52.9,3.588163,0.0411,0.12,4575.0,0.72,0.66,2017.0,Transit,709.999
K2-195 b,3.13,9.96,15.852975,0.1208,,5713.0,0.94,0.99,2018.0,Transit,315.014
K2-80 c,1.47,2.76,5.605,0.0596,,5441.0,0.9,0.87,2016.0,Transit,200.802
K2-229 c,2.03,7.0,8.32727,0.0769,0.0,5315.0,0.87,0.79,2018.0,Transit,102.564
HAT-P-3 b,10.53646,206.5895,2.8997,0.03866,0.0,5185.0,1.06,0.87,2007.0,Transit,134.554
WASP-32 b,10.76064,835.8929,2.71866,0.0394,0.0,6140.0,0.72,0.95,2010.0,Transit,275.994
WASP-24 b,15.46842,394.1092,2.34121,0.03651,0.0,6075.0,1.43,1.42,2010.0,Transit,322.114
Kepler-65 c,2.58,5.4,5.859944,0.068,0.02,6211.0,1.25,1.41,2012.0,Transit,303.728
TrES-2 b,15.24424,473.5667,2.47063,0.03568,0.0,5850.0,1.36,1.12,2006.0,Transit,215.32
Kepler-939 b,1.75,3.71,14.878296,0.1153,0.0,5471.0,0.88,0.85,2016.0,Transit,2093.62
Kepler-1028 b,1.33,2.33,2.51462432,0.0354,0.0,5522.0,0.9,0.87,2016.0,Transit,607.916
HAT-P-67 b,23.9872187,143.02278315,4.8101069,0.06505,0.0,6640.0,1.73,2.62,2017.0,Transit,371.686
Kepler-1101 b,2.47,6.66,81.3151059,0.3483,0.0,5614.0,0.94,0.91,2016.0,Transit,742.473
Kepler-1388 b,2.59,7.22,12.2854603,0.0882,0.0,4098.0,0.63,0.61,2016.0,Transit,453.795
Kepler-768 b,1.79,3.86,11.3910025,0.092,0.0,5108.0,0.82,0.78,2016.0,Transit,784.56
Kepler-796 b,1.3,2.24,6.40087618,0.07317,0.0,5475.0,0.93,1.09,2016.0,Transit,817.584
Kepler-110 b,1.83,4.01,12.691112,0.107,0.0,5960.0,0.989,1.149,2014.0,Transit,586.531
Kepler-1042 b,2.19,5.43,10.13202575,0.0756,0.0,4815.0,0.75,0.72,2016.0,Transit,659.0
Kepler-334 c,1.43,2.63,12.758005,0.107,0.0,5828.0,1.022,1.068,2014.0,Transit,426.59
