pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
"HD 2039 b",12.70000000,1999.15070000,1120.00000000000,2.2000000000,0.710000,5945.00,1.230000,1.190000,2002,"Radial Velocity",85.69220000
"HAT-P-8 b",15.69260000,406.82240000,3.07634000000,0.0449600000,0.000000,6200.00,1.270000,1.570000,2008,"Transit",211.55300000
"K2-43 b",4.51000000,18.50000000,3.47114900000,0.0378400000,0.070000,3840.60,0.571000,0.542000,2016,"Transit",182.53600000
"Kepler-1753 b",2.22678077,5.59000000,16.00460052000,0.1179000000,0.000000,5180.00,0.860000,0.769000,2021,"Transit",707.68800000
"Kepler-1176 b",2.45000000,6.57000000,24.17385790000,0.1589000000,0.000000,5844.00,1.010000,1.020000,2016,"Transit",864.69900000
"K2-126 b",1.97000000,4.54000000,7.38565500000,0.0656000000,0.060000,4339.00,0.690000,0.650000,2017,"Transit",102.95300000
"Kepler-1263 b",1.14000000,1.55000000,4.55139967000,0.0499000000,0.000000,5213.00,0.840000,0.800000,2016,"Transit",664.83000000
"Kepler-1416 b",0.88000000,0.61500000,1.49514952000,0.0257000000,0.000000,6019.00,1.090000,1.150000,2016,"Transit",949.59000000
"Kepler-1542 c",0.65000000,0.20800000,2.89223021000,0.0387000000,0.000000,5564.00,0.940000,0.990000,2016,"Transit",399.11400000
"K2-85 b",1.40000000,3.20000000,0.68453862616,0.0130000000,0.240000,4232.00,0.700000,0.710000,2016,"Transit",97.21790000
"Kepler-368 c",3.88000000,14.30000000,72.37933400000,0.3600000000,0.000000,5502.00,1.165000,2.019000,2014,"Transit",770.97800000
"K2-123 b",2.76000000,8.05000000,30.95152400000,0.1649000000,0.060000,4035.00,0.620000,0.590000,2017,"Transit",161.55500000
"Kepler-770 b",2.30000000,5.90000000,18.92540274000,0.1694000000,0.000000,5598.00,0.940000,0.920000,2016,"Transit",930.45700000
"Kepler-1399 b",1.25000000,2.10000000,1.63865305800,0.0276000000,0.000000,5735.00,0.970000,0.960000,2016,"Transit",1385.70000000
"Kepler-723 b",12.19000000,,4.08227506800,0.0479000000,0.000000,5539.00,0.920000,0.890000,2016,"Transit",1071.80000000
"K2-107 b",15.98000000,266.97720000,3.31395900000,0.0475000000,0.000000,6061.00,1.300000,1.810000,2017,"Transit",685.20000000
"K2-45 b",6.71000000,36.40000000,1.72926840000,0.0224000000,0.100000,4103.00,0.503000,0.445000,2016,"Transit",495.31700000
"K2-365 b",2.90600000,8.78000000,23.44817200000,,,5561.00,0.823000,1.051000,2022,"Transit",187.22200000
"K2-127 b",8.37000000,52.90000000,3.58816300000,0.0411000000,0.120000,4575.00,0.720000,0.660000,2017,"Transit",709.99900000
"K2-195 b",3.13000000,9.96000000,15.85297500000,0.1208000000,,5713.00,0.940000,0.990000,2018,"Transit",315.01400000
"K2-80 c",1.47000000,2.76000000,5.60500000000,0.0596000000,,5441.00,0.900000,0.870000,2016,"Transit",200.80200000
"K2-229 c",2.03000000,7.00000000,8.32727000000,0.0769000000,0.000000,5315.00,0.870000,0.790000,2018,"Transit",102.56400000
"HAT-P-3 b",10.53646000,206.58950000,2.89970000000,0.0386600000,0.000000,5185.00,1.060000,0.870000,2007,"Transit",134.55400000
"WASP-32 b",10.76064000,835.89290000,2.71866000000,0.0394000000,0.000000,6140.00,0.720000,0.950000,2010,"Transit",275.99400000
"WASP-24 b",15.46842000,394.10920000,2.34121000000,0.0365100000,0.000000,6075.00,1.430000,1.420000,2010,"Transit",322.11400000
"Kepler-65 c",2.58000000,5.40000000,5.85994400000,0.0680000000,0.020000,6211.00,1.250000,1.410000,2012,"Transit",303.72800000
"TrES-2 b",15.24424000,473.56670000,2.47063000000,0.0356800000,0.000000,5850.00,1.360000,1.120000,2006,"Transit",215.32000000
"Kepler-939 b",1.75000000,3.71000000,14.87829600000,0.1153000000,0.000000,5471.00,0.880000,0.850000,2016,"Transit",2093.62000000
