,count,unique,top,freq,mean,std,min,25%,50%,75%,max
pl_name,6366,6366,Kepler-937 b,1,,,,,,,
pl_rade,6316.0,,,,5.875301023700127,5.428426099035018,0.3098,1.85,2.87,11.984300277500001,87.20586985
pl_bmasse,6335.0,,,,405.24167219333384,1138.9322689704854,0.02,4.31,9.4,194.32766413500002,9534.85221
pl_orbper,6016.0,,,,71160.76011833985,5185317.480594896,0.090706293,4.304563820185,10.745507,38.5781316725,402000000.0
pl_orbsmax,5936.0,,,,15.46445357711449,346.0353338686203,0.0044,0.0523,0.1028,0.31209789649999997,19000.0
pl_orbeccen,5301.0,,,,0.07991316261082815,0.15307495263659243,0.0,0.0,0.0,0.092,0.95
st_teff,6062.0,,,,5393.233838667107,1726.1777043047814,415.0,4898.0,5544.0,5900.0,57000.0
st_mass,6357.0,,,,0.9342701986786219,0.3871479643394061,0.0094,0.77,0.94,1.088,9.1
st_rad,6038.0,,,,1.4886977620072872,3.8577410969258588,0.0115,0.77,0.951,1.25,88.475
disc_year,6366.0,,,,2017.2884071630538,5.141004459986652,1992.0,2014.0,2016.0,2021.0,2026.0
discoverymethod,6366,11,Transit,4708,,,,,,,
sy_dist,6338.0,,,,709.5387203779962,1230.7541498903938,1.30119,101.3725,359.439,823.35975,8500.0
